,area_km,circuity_avg,clustering_coefficient_avg,int_1_streets_prop,int_3_streets_prop,int_4_streets_prop,intersection_density_km,street_density_km,street_length_avg,streets_per_node_avg,city
0,8937.43,1.07,0.04,0.18,0.61,0.19,38.19,9328.81,140.78,2.82,New York
1,6850.05,1.1,0.04,0.32,0.58,0.09,21.85,6515.63,165.01,2.44,Atlanta
2,6325.26,1.07,0.04,0.15,0.58,0.25,40.12,9309.74,132.67,2.94,Chicago
3,5132.1,1.09,0.05,0.17,0.62,0.18,32.51,7957.54,142.0,2.82,Philadelphia
4,4852.29,1.1,0.05,0.21,0.66,0.1,31.16,7210.42,133.73,2.66,Boston
5,4612.32,1.08,0.05,0.14,0.62,0.22,40.71,10036.15,143.67,2.93,Dallas
6,4496.6,1.07,0.03,0.21,0.57,0.21,54.9,12245.48,125.89,2.79,Los Angeles
7,4303.34,1.1,0.04,0.2,0.61,0.18,50.94,10389.29,116.46,2.79,Houston
8,3461.21,1.07,0.04,0.16,0.63,0.2,37.59,9316.0,143.24,2.88,Detroit
9,3424.25,1.1,0.04,0.26,0.57,0.15,44.8,9679.34,120.08,2.63,Washington
10,3203.52,1.11,0.05,0.17,0.6,0.21,48.29,11524.67,136.22,2.88,Miami
11,2968.28,1.1,0.05,0.19,0.63,0.16,46.92,10586.87,131.26,2.77,Phoenix
12,2646.6,1.08,0.04,0.2,0.57,0.21,40.8,9922.61,137.36,2.79,Minneapolis
13,2616.71,1.08,0.03,0.29,0.55,0.15,46.3,9664.69,115.15,2.57,Seattle
14,2478.76,1.1,0.05,0.2,0.59,0.2,36.1,8978.85,141.25,2.8,Tampa
15,2392.11,1.1,0.04,0.21,0.61,0.16,36.27,8983.1,139.26,2.72,St. Louis
16,2344.64,1.09,0.04,0.22,0.59,0.16,32.79,7777.61,135.75,2.68,Pittsburgh
17,2244.93,1.11,0.02,0.36,0.55,0.08,28.04,6624.51,128.19,2.34,San Juan
18,2040.25,1.08,0.03,0.31,0.55,0.12,28.26,7316.18,141.97,2.49,Cincinnati
19,2003.99,1.07,0.04,0.22,0.64,0.12,23.21,6905.13,171.0,2.68,Cleveland
20,1919.69,1.08,0.04,0.28,0.59,0.11,26.3,6913.38,147.44,2.53,Charlotte
21,1897.37,1.09,0.04,0.27,0.55,0.16,36.45,9175.96,139.51,2.61,San Diego
22,1856.86,1.1,0.04,0.26,0.59,0.13,52.65,9952.62,105.42,2.61,Baltimore
23,1827.96,1.09,0.05,0.23,0.59,0.16,36.69,8663.23,133.97,2.68,Indianapolis
24,1755.83,1.06,0.04,0.21,0.59,0.18,38.64,9290.8,136.66,2.75,Kansas City
25,1729.19,1.08,0.05,0.2,0.57,0.21,57.16,11506.96,114.41,2.8,Denver
26,1547.96,1.12,0.06,0.2,0.61,0.17,34.85,8557.03,141.27,2.76,Orlando
27,1546.75,1.07,0.05,0.17,0.6,0.21,34.48,8719.24,146.84,2.85,San Antonio
28,1459.61,1.08,0.04,0.26,0.58,0.13,21.51,6493.22,170.13,2.58,Nashville
29,1413.45,1.06,0.05,0.16,0.55,0.27,40.05,9000.18,127.55,2.96,Milwaukee
